INFO 2024-11-10 00:22:38,446 autoreload Watching for file changes with StatReloader
DEBUG 2024-11-10 00:22:38,447 autoreload Waiting for apps ready_event.
DEBUG 2024-11-10 00:22:38,481 autoreload Apps ready_event triggered. Sending autoreload_started signal.
DEBUG 2024-11-10 00:22:38,496 autoreload Watching dir D:\FullStackProjects\TaskManagementSystem\envDjango\Lib\site-packages\rest_framework\templates with glob **/*.
DEBUG 2024-11-10 00:22:38,497 autoreload Watching dir D:\FullStackProjects\TaskManagementSystem\backend\locale with glob **/*.mo.
DEBUG 2024-11-10 00:22:38,497 autoreload Watching dir D:\FullStackProjects\TaskManagementSystem\envDjango\Lib\site-packages\channels\locale with glob **/*.mo.
DEBUG 2024-11-10 00:22:38,497 autoreload Watching dir D:\FullStackProjects\TaskManagementSystem\envDjango\Lib\site-packages\rest_framework\locale with glob **/*.mo.
DEBUG 2024-11-10 00:22:38,499 autoreload Watching dir D:\FullStackProjects\TaskManagementSystem\envDjango\Lib\site-packages\rest_framework_simplejwt\locale with glob **/*.mo.
DEBUG 2024-11-10 00:22:38,499 autoreload Watching dir D:\FullStackProjects\TaskManagementSystem\envDjango\Lib\site-packages\corsheaders\locale with glob **/*.mo.
DEBUG 2024-11-10 00:22:38,500 autoreload Watching dir D:\FullStackProjects\TaskManagementSystem\envDjango\Lib\site-packages\daphne\locale with glob **/*.mo.
DEBUG 2024-11-10 00:22:38,500 autoreload Watching dir D:\FullStackProjects\TaskManagementSystem\backend\institute\locale with glob **/*.mo.
DEBUG 2024-11-10 00:22:38,500 autoreload Watching dir D:\FullStackProjects\TaskManagementSystem\backend\mentors\locale with glob **/*.mo.
DEBUG 2024-11-10 00:22:38,501 autoreload Watching dir D:\FullStackProjects\TaskManagementSystem\backend\students\locale with glob **/*.mo.
DEBUG 2024-11-10 00:22:38,501 autoreload Watching dir D:\FullStackProjects\TaskManagementSystem\backend\tasks\locale with glob **/*.mo.
DEBUG 2024-11-10 00:22:38,515 utils (0.001) 
            SELECT name, type FROM sqlite_master
            WHERE type in ('table', 'view') AND NOT name='sqlite_sequence'
            ORDER BY name; args=None; alias=default
